sample_id,source_name,pattern,curve_id,load_case,deployment,source_stiff,curve_final_stiff,rel_stiff_error,secant_stiff_cv,disp_final
tmp_00001,tmp,2,3,axial,0.3,153195.752844373,153231.27476083257,0.00023187272362349442,7.442194054888556e-05,0.0001957824866159
tmp_00001,tmp,2,4,axial,0.6,182505.858120796,182672.78301002117,0.0009146275683637516,0.0002945019166126785,0.0001642280776899
tmp_00001,tmp,2,5,axial,0.9,253193.851389181,254776.7093199964,0.006251565439408639,0.0020222712246140894,0.0001177501667247
tmp_00002,tmp,2,0,bending,0.3,20043.9927503785,19996.365813001772,0.0023761202655508246,0.00077179321577652,0.0015002726135613
tmp_00002,tmp,2,1,bending,0.6,3384.76579713584,3394.0984968932385,0.0027572660316101745,0.0008773197167556448,0.0088388713608224
tmp_00002,tmp,2,2,bending,0.9,502.015169843317,553.1516405009893,0.10186240123706304,0.030830557977528796,0.0542346759973974
tmp_00002,tmp,2,3,axial,0.3,172094.006251168,172279.36846902617,0.001077098627058743,0.00034572624279618954,0.0001741357671937
tmp_00002,tmp,2,4,axial,0.6,174491.927957643,174891.01523472,0.0022871389052098114,0.0007373860828513474,0.0001715353985437
tmp_00002,tmp,2,5,axial,0.9,175381.487334949,176089.11046275593,0.0040347652341178476,0.0013173254986246824,0.0001703682863816
tmp_00003,tmp,2,0,bending,0.3,20233.8571862237,20052.989276558455,0.00893887448154915,0.0028089451959469464,0.0014960363059222
tmp_00003,tmp,2,1,bending,0.6,4285.42028166982,4272.457046856903,0.0030249623049494615,0.0009654599775274279,0.0070217206799235
tmp_00003,tmp,2,2,bending,0.9,868.765990681124,898.911895981601,0.03469968394693055,0.010676257903206554,0.0333736822642005
tmp_00003,tmp,2,3,axial,0.3,7144.17376545976,7315.016334014638,0.02391355168051175,0.007576837161223055,0.0041011528382378
tmp_00003,tmp,2,4,axial,0.6,14539.9669101723,14905.382394951377,0.02513179617509512,0.007963777675896712,0.0020126957635224
tmp_00003,tmp,2,5,axial,0.9,69697.2552703301,70887.79997499251,0.017081658381592167,0.005434062538136003,0.0004232039929379
